,,합계금액,공급가액,세액,,,,,
,휴먼합계,"6,621,938,908","6,020,722,571","601,216,337",,,,,
매입계산서,,,,,,,,,
주식회사 휴먼엠에스,,,,,,,,,
작성일자,상호,합계금액,공급가액,세액,품목비고,,,,
2017-03-15,(주)아마존카,"251,200","228,364","22,836",승계수수료,,,,
2017-03-27,(주)아마존카,"-79,317","-72,107","-7,210",37회차 대여료,,,,
2017-03-27,(주)아마존카,"295,650","268,773","26,877",37회차 대여료,,,,
2017-04-06,초월피복,"1,064,800","968,000","96,800",안전모 안전조끼,,,,
2017-04-10,초월피복,"193,600","176,000","17,600",안전모,,,,
2017-04-10,초월피복,"985,600","896,000","89,600",안전모,,,,
2017-04-10,초월피복,"-1,064,800","-968,000","-96,800",안전모 안전조끼,,,,
2017-04-10,（주）아웃소싱화인,"11,880,000","10,800,000","1,080,000",외주용역비,,,,
2017-04-11,（주）아웃소싱화인,"825,000","750,000","75,000",외주용역비,,,,
2017-04-15,(주)아마존카,"282,847","257,134","25,713",38회차 대여료,,,,
2017-04-24,(주) 어배인,"7,832,000","7,120,000","712,000",,,,,
2017-05-15,(주)아마존카,"446,600","406,000","40,600",39회차 대여료,,,,
2017-06-15,(주)아마존카,"446,600","406,000","40,600",40회차 대여료,,,,
2017-06-30,법무법인 정론 서초분사무소,"111,000","100,910","10,090",수수료,,,,
2017-07-15,(주)아마존카,"446,600","406,000","40,600",41회차 대여료,,,,
2017-08-15,(주)아마존카,"446,600","406,000","40,600",42회차 대여료,,,,
2017-09-15,(주)아마존카,"446,600","406,000","40,600",43회차 대여료,,,,
2017-09-28,잡코리아 유한책임회사,"12,100","11,000","1,100",알바몬 유료 서비스,,,,
2017-09-29,잡코리아 유한책임회사,"162,400","147,636","14,764",알바몬 유료 서비스,,,,
2017-10-15,(주)아마존카,"446,600","406,000","40,600",44회차 대여료,,,,
2017-10-17,잡코리아 유한책임회사,"338,000","307,273","30,727",알바몬 유료 서비스,,,,
2017-10-18,잡코리아 유한책임회사,"162,400","147,636","14,764",알바몬 유료 서비스,,,,
2017-11-15,(주)아마존카,"446,600","406,000","40,600",45회차 대여료,,,,
2017-11-30,S.O.M 서비스(ShareOne'sMan services),"22,000,000","20,000,000","2,000,000",일용비,,,,
2017-12-15,(주)아마존카,"446,600","406,000","40,600",46회차 대여료,2017년,,,
2017-12-20,잡코리아 유한책임회사,"-217,000","-197,273","-19,727",[알바몬] 유료서비스,합계금액,공급가액,세액,
2017-12-20,잡코리아 유한책임회사,"-78,200","-71,091","-7,109",[알바몬] 유료서비스,"48,530,080","44,118,255","4,411,825",
2018-01-11,조은커뮤니케이션,"27,500","25,000","2,500",프린터임대료,,,,
2018-01-15,(주)아마존카,"446,600","406,000","40,600",47회차 대여료,,,,
2018-02-06,성주이씨판윤공종회（가든타워 지점）,"550,000","500,000","50,000",임대료,,,,
2018-02-11,조은커뮤니케이션,"27,500","25,000","2,500",프린터임대료,,,,
2018-02-12,(주)코스콤,"55,000","50,000","5,000",공인인증서발급,,,,
2018-02-15,(주)아마존카,"446,600","406,000","40,600",48회차 대여료,,,,
2018-03-06,성주이씨판윤공종회（가든타워 지점）,"550,000","500,000","50,000",임대료,,,,
2018-03-09,피씨엔진,"660,000","600,000","60,000","중고 모니터, PC",,,,
2018-03-12,조은커뮤니케이션,"27,500","25,000","2,500",프린터임대료,,,,
2018-03-27,(주)아마존카,"610,353","554,866","55,487",49회차 대여료,,,,
2018-03-28,하랑엠에스,"10,000","9,091",909,일용비,,,,
2018-04-06,성주이씨판윤공종회（가든타워 지점）,"550,000","500,000","50,000",임대료,,,,
2018-04-11,조은커뮤니케이션,"27,500","25,000","2,500",프린터임대료,,,,
2018-04-15,(주)아마존카,"247,000","224,545","22,455",50회차 대여료,,,,
4/17/2018,잡코리아 유한책임회사,"7,700","7,000",700,알바몬 유료 서비스,,,,
4/26/2018,잡코리아 유한책임회사,"7,700","7,000",700,알바몬 유료 서비스,,,,
4/28/2018,(주)미디어윌네트웍스,"11,000","10,000","1,000",구인광고,,,,
2018-04-30,하랑엠에스,"5,500,000","5,000,000","500,000",일용비,,,,
2018-04-30,하랑엠에스,"33,000,000","30,000,000","3,000,000",일용비,,,,
2018-05-11,조은커뮤니케이션,"27,500","25,000","2,500",프린터임대료,,,,
2018-05-12,잡코리아 유한책임회사,"7,700","7,000",700,알바몬 유료 서비스,,,,
2018-05-13,잡코리아 유한책임회사,"12,100","11,000","1,100",알바몬 유료 서비스,,,,
2018-05-15,(주)아마존카,"390,000","354,545","35,455",51회차 대여료,,,,
2018-05-24,(주)미디어윌네트웍스,"12,100","11,000","1,100",구인광고,,,,
2018-05-31,S.O.M 서비스(ShareOne'sMan services),"6,600,000","6,000,000","600,000",일용비,,,,
2018-05-31,하랑엠에스,"4,950,000","4,500,000","450,000",일용비,,,,
